date,region,type_name,sum,mean,min,max
2024-09-09T01,PJM,Wind,1572.0,1572.0,1572.0,1572.0
2024-09-09T02,MISO,Coal,19119.0,19119.0,19119.0,19119.0
2024-09-09T02,MISO,Hydro,1894.0,1894.0,1894.0,1894.0
2024-09-09T02,MISO,Natural Gas,26021.0,26021.0,26021.0,26021.0
2024-09-09T02,MISO,Nuclear,11647.0,11647.0,11647.0,11647.0
2024-09-09T02,MISO,Solar,6.0,6.0,6.0,6.0
2024-09-09T02,MISO,Wind,9156.0,9156.0,9156.0,9156.0
2024-09-09T02,PJM,Coal,7021.0,7021.0,7021.0,7021.0
2024-09-09T02,PJM,Hydro,320.0,320.0,320.0,320.0
2024-09-09T02,PJM,Natural Gas,40172.0,40172.0,40172.0,40172.0
2024-09-09T02,PJM,Nuclear,31118.0,31118.0,31118.0,31118.0
2024-09-09T02,PJM,Wind,2119.0,2119.0,2119.0,2119.0
2024-09-09T03,MISO,Coal,16596.0,16596.0,16596.0,16596.0
2024-09-09T03,MISO,Hydro,1070.0,1070.0,1070.0,1070.0
2024-09-09T03,MISO,Natural Gas,23815.0,23815.0,23815.0,23815.0
2024-09-09T03,MISO,Nuclear,11653.0,11653.0,11653.0,11653.0
2024-09-09T03,MISO,Solar,5.0,5.0,5.0,5.0
2024-09-09T03,MISO,Wind,11972.0,11972.0,11972.0,11972.0
2024-09-09T03,PJM,Coal,6695.0,6695.0,6695.0,6695.0
2024-09-09T03,PJM,Hydro,326.0,326.0,326.0,326.0
2024-09-09T03,PJM,Natural Gas,38638.0,38638.0,38638.0,38638.0
2024-09-09T03,PJM,Nuclear,30896.0,30896.0,30896.0,30896.0
2024-09-09T03,PJM,Wind,2364.0,2364.0,2364.0,2364.0
2024-09-09T04,MISO,Coal,14065.0,14065.0,14065.0,14065.0
2024-09-09T04,MISO,Hydro,579.0,579.0,579.0,579.0
2024-09-09T04,MISO,Natural Gas,20931.0,20931.0,20931.0,20931.0
2024-09-09T04,MISO,Nuclear,11656.0,11656.0,11656.0,11656.0
2024-09-09T04,MISO,Wind,13949.0,13949.0,13949.0,13949.0
2024-09-09T04,PJM,Coal,6752.0,6752.0,6752.0,6752.0
2024-09-09T04,PJM,Hydro,251.0,251.0,251.0,251.0
2024-09-09T04,PJM,Natural Gas,35691.0,35691.0,35691.0,35691.0
2024-09-09T04,PJM,Nuclear,31195.0,31195.0,31195.0,31195.0
2024-09-09T04,PJM,Wind,1697.0,1697.0,1697.0,1697.0
2024-09-09T05,MISO,Coal,13282.0,13282.0,13282.0,13282.0
2024-09-09T05,MISO,Hydro,516.0,516.0,516.0,516.0
2024-09-09T05,MISO,Natural Gas,18630.0,18630.0,18630.0,18630.0
2024-09-09T05,MISO,Nuclear,11660.0,11660.0,11660.0,11660.0
2024-09-09T05,MISO,Wind,14833.0,14833.0,14833.0,14833.0
2024-09-09T05,PJM,Coal,6358.0,6358.0,6358.0,6358.0
2024-09-09T05,PJM,Hydro,241.0,241.0,241.0,241.0
2024-09-09T05,PJM,Natural Gas,35272.0,35272.0,35272.0,35272.0
2024-09-09T05,PJM,Nuclear,30373.0,30373.0,30373.0,30373.0
2024-09-09T05,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-09T05,PJM,Wind,2709.0,2709.0,2709.0,2709.0
2024-09-09T06,MISO,Coal,13105.0,13105.0,13105.0,13105.0
2024-09-09T06,MISO,Hydro,485.0,485.0,485.0,485.0
2024-09-09T06,MISO,Natural Gas,16720.0,16720.0,16720.0,16720.0
2024-09-09T06,MISO,Nuclear,11662.0,11662.0,11662.0,11662.0
2024-09-09T06,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-09T06,MISO,Wind,14785.0,14785.0,14785.0,14785.0
2024-09-09T06,PJM,Coal,6355.0,6355.0,6355.0,6355.0
2024-09-09T06,PJM,Hydro,244.0,244.0,244.0,244.0
2024-09-09T06,PJM,Natural Gas,34751.0,34751.0,34751.0,34751.0
2024-09-09T06,PJM,Nuclear,30448.0,30448.0,30448.0,30448.0
2024-09-09T06,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-09T06,PJM,Wind,2779.0,2779.0,2779.0,2779.0
2024-09-09T07,MISO,Coal,12830.0,12830.0,12830.0,12830.0
2024-09-09T07,MISO,Hydro,476.0,476.0,476.0,476.0
2024-09-09T07,MISO,Natural Gas,15245.0,15245.0,15245.0,15245.0
2024-09-09T07,MISO,Nuclear,11669.0,11669.0,11669.0,11669.0
2024-09-09T07,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-09T07,MISO,Wind,15157.0,15157.0,15157.0,15157.0
2024-09-09T07,PJM,Coal,6352.0,6352.0,6352.0,6352.0
2024-09-09T07,PJM,Hydro,247.0,247.0,247.0,247.0
2024-09-09T07,PJM,Natural Gas,33640.0,33640.0,33640.0,33640.0
2024-09-09T07,PJM,Nuclear,30363.0,30363.0,30363.0,30363.0
2024-09-09T07,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-09T07,PJM,Wind,3158.0,3158.0,3158.0,3158.0
2024-09-09T08,MISO,Coal,12696.0,12696.0,12696.0,12696.0
